Paper_ID,Manual_Review_Reason,Title,Year,Dataset_Size,Dataset_Type,Dataset_Type_Norm_Corrected,Dataset_Real_Simulated,Input_Resolution,Target_Resolution,Resolution_Evidence,Sequence_Summary,Contrast_Summary,Dataset_Public_Availability,Dataset_Availability_Evidence,Input_Field_Category,Target_Field_Category,Field_Pair_Category,Ground_Truth_Type,Paired_Unpaired,Field_Evidence,Field_Manual_Review,Training_Data_Source
11,target field unresolved,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,2023,"49 MS patients (37 training, 12 testing)",Clinical,Clinical,Mixed,Not reported,Not reported,Not reported,T1-weighted; T2-weighted; FLAIR,Multi-contrast,Not reported,Not reported,≤64 mT,Unknown,standard/high-field→low-field,Paired measured/reference,Paired,ed | hospital of the university of pennsylvania and nih clinical center/ paired 64mt (hyperfine swoop) and 3t (siemens) clinical scans from penn and nih | this study is capable of producing lowgan images ,Yes,Hospital of the University of Pennsylvania and NIH Clinical Center/ Paired 64mT (Hyperfine SWOOP) and 3T (Siemens) clinical scans from Penn and NIH
12,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,"928 healthy adult subjects (27,840 T1 slices, 18,360 diffusion slices)",Public_benchmark,Public benchmark,Not reported,Not reported,Not reported,Not reported,DWI/DTI,Not reported,Publicly available,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,"rdam open mri collection | field strength not explicitly stated in text, likely 3t given the dataset source. | super-resolution of brain mri images based on denoising diffusion probabilistic model",Yes,Amsterdam Open MRI collection
13,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,"40 subjects (training), 3 subjects (testing)",Mixed,Mixed,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,CHAOS challenge dataset and single-center volunteer data
14,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,"20 cases (NAMIC), 10 cases (IXI)",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,T1-weighted; T2-weighted,Multi-contrast,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,NAMIC dataset and IXI dataset
15,input field unresolved; target field unresolved,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,"Training: RFL second training set (291 natural images) — Natural Domain (Non Medical dataset).
Testing: Set5 (5 natural images). Set14 (14 natural images). BSD300 (100 natural images from the Berkeley dataset)
Knee MRI application: 23 sagittal knee MR volumes (512 × 512 × 23 slices), used to qualitatively demonstrate improved cartilage visualization for osteoarthritis-related imaging.",Mixed,Mixed,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,Unknown,Synthetic degradation/proxy,Paired by construction,,Yes,I Do Imaging (IDI) dataset https://idoimaging.com/home
16,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,30 participants: 20 healthy volunteers + 10 patients,Clinical (Single center),Clinical,Real,Not reported,Not reported,Not reported,Cine,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"No model trained or fine-tuned in the paper, just used the vendor's model."
17,input field unresolved; target field unresolved,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,48 3D image volumes,Synthetic,Synthetic,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,Unknown,Synthetic degradation/proxy,Paired by construction,,Yes,BrainWeb simulated database
18,target field unresolved; paired/unpaired status not reported,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,"4 in-silico models, 8 in-vivo volunteers",Mixed,Mixed,Real,Not reported,Not reported,Not reported,4D-flow,Phase/velocity,Not reported,Not reported,>64 mT,Unknown,standard/high-field only,Measured/reference stated,Not reported,"standard-field | patient-specific cfd models and in-vivo data from 3t scanner | how does the ""physics-informed"" aspect (vwerp) interact with hallucinations? it seems to act as a constraint/",Yes,Patient-specific CFD models and in-vivo data from 3T scanner
19,input field unresolved; target field unresolved,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,"1,279 MRI",Synthetic,Synthetic,Synthetic/derived,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,Unknown,Synthetic degradation/proxy,Paired by construction,,Yes,Kaggle Alzheimer's classification dataset.
20,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,"5 datasets containing T1,T2, proton density, diffusion weighted, and dynamic contrast enhanced images from 1.5T or 3T scanners were used","PROSTATEx, Prostate-3T, Prostate Fused-MRI-Pathology, Prostate-diagnosis and Prostate MRI.",Public benchmark,Not reported,Not reported,Not reported,Not reported,DWI/DTI; Proton density; DCE,Contrast-enhanced/DCE,Publicly available,Not reported,Unknown,Unknown,low-field→standard/high-field,Not reported,Not reported,low field (64 mt) and standard field (3 t) | deep learning-based method for denoising and image enhancement in low-field mri,Yes,
21,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,">1,900",Repository of Images of the centra nervous system,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Multi-contrast,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,Whole Brain Atlas database of Havard Medical School
22,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Digital Image Enhancement using Conventional Neural Network,2023,,Mixed,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,
24,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,2021,Approximately 600 MRI scans of healthy persons; 503 patients selected for training and testing.,Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,cal evaluation and explicit field strength information. | Evaluation limited to public datasets; no clinical reader study; field strength not specified; performance validated only using image quality metrics.,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,IXI dataset and BRATS dataset
25,input field unresolved; target field unresolved; field direction unresolved,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,"1248 3D T1W and 1182 3D T2W training data from healthy subjects (22–35 years old)
sets. 268 and 200 data For T1W or T2W model validation and testing",Mixed,Mixed,Mixed,Not reported,Not reported,Not reported,T1-weighted; T2-weighted,Not reported,Not reported,Not reported,Unknown,Unknown,low-field (direction unresolved),Synthetic degradation/proxy,Paired by construction,"low-field | e wu-minn human connectome project (hcp s1200), experimental data was obtained from 8 patients recruited from neurolo",Yes,"e WU-Minn
Human Connectome Project (HCP S1200), experimental data was obtained from 8 patients recruited
from neurology and neurosurgery clinics at Hong Kong
Queen Mary Hospital"
26,target field unresolved,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,"1260 training, 360 validation, 180 testing",Synthetic,Synthetic,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,>64 mT,Unknown,low-field→standard/high-field,Synthetic degradation/proxy,Paired by construction,low-field | three-dimensional single-coil spin-echo acquisitions of the knee at 3 t from the fastmri dataset converted to low‑fie,Yes,"three-dimensional single-coil spin-echo
acquisitions of the knee at 3 T from the FastMRI dataset  converted to low‑field MRI"
27,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Multi-Contrast Super-Resolution MRI Through a Progressive Network,2020,"IXI dataset: 578 patients; 7,000 T2–PD image pairs from 56 subjects for training and 1,955 pairs from 16 subjects for testing. NAMIC dataset: 20 patients; 1,620 T2–T1 image pairs from 18 subjects for training and 180 pairs from 2 subjects for testing",mixed,Mixed,Real,Not reported,Not reported,Not reported,Proton density,Multi-contrast,Not reported,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,"IXI Dataset, NAMIC Dataset"
28,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,2021,"50 3D MRI volumes total: 40 training (3,200 2D slices) and 10 validation (960 2D slices); additional 10 3D samples used as independent test set (960 2D slices)","Cardiac, brain, knee, multimodal whole heart",Mixed,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,
30,input field unresolved; target field unresolved; paired/unpaired status not reported,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,"150 patients (100 with ground truth, 50 without ground truth); 708 labeled images used for training/testing",public miccai benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,standard/high-field only,Measured/reference stated,Not reported,1.5 and 3t mri | emidec dataset | full article not available | deep learning myocardial infarction segmentation framework from car,Yes,EMIDEC dataset
31,target field unresolved,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,"399 subjects from IXI dataset: 300 training, 50 test, 49 validation",Public IXI diffusion-weighted MRI of healthy subjects,Public benchmark,Mixed,Not reported,Not reported,Not reported,DWI/DTI,Not reported,Publicly available,Not reported,Synthetic/derived (field unresolved),Unknown,standard/high-field only,Synthetic degradation/proxy,Paired by construction,1.5t and 3t mri scanners | diffusion-weighted brain mri from ixi dataset (public); low-resolution data simulated by fsl under-sampl,Yes,Diffusion-weighted brain MRI from IXI dataset (public); low-resolution data simulated by FSL under-sampling by factor 2 in all dimensions; then sinc-interpolated back to HR grid for input to UNet-based models.
32,target field unresolved; paired/unpaired status not reported,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,Source (Brain 1.5T): 1407 images. Target (Brain 3T): 500 images. Target (Cardiac): 500 images.,Human brain and cardiac images,Mixed,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,>64 mT,Unknown,standard/high-field only,Measured/reference stated,Not reported,1.5t and 3t | brain: 1.5t (various patients) and oasis-3 (3t). cardiac: open-source dataset from york university. | transfer learni,Yes,Brain: 1.5T (various patients) and OASIS-3 (3T). Cardiac: Open-source dataset from York University.
35,input field unresolved; field direction unresolved,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,"50 participants in the main group, 13 participants in the validation group",Clinical,Clinical,Real,Not reported,Not reported,Not reported,T1-weighted; FLAIR,Not reported,Not reported,Not reported,Unknown,≤64 mT,low-field (direction unresolved),Paired measured/reference,Paired,"3 patients, and fsim evaluation. | multisequence 3-t image synthesis from 64-mt low-field-strength mri using generative adversarial networks in multiple sclerosis",Yes,Hospital of the University of Pennsylvania and National Institutes of Health Clinical Center
36,target field unresolved; field direction unresolved; ground truth not reported; paired/unpaired status not reported,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,"12 patients (5 to 18 years old, 7 males, 5 females).","Mixed (Clinical and Public-benchmark (HCP, Leipzig))",Mixed,Real,Not reported,Not reported,Not reported,T1-weighted; T2-weighted; FLAIR,Not reported,Publicly available,"al and Public-benchmark (HCP, Leipzig)) | Training: High-resolution images from public datasets (WU-Minn Human Connectome Project, Leipzig Study for Mind-Body-Emotion Interactions). Evaluation: Single-center data f",>64 mT,Unknown,low-field↔standard/high-field (direction unresolved),Not reported,Not reported,-world deployment. | evaluation of epilepsy lesion visualisation enhancement in low-field mri using image quality transfer: a preliminary investigation of clinical potential for applications in developing coun,Yes,"Training: High-resolution images from public datasets (WU-Minn Human Connectome Project, Leipzig Study for Mind-Body-Emotion Interactions). Evaluation: Single-center data from patients scanned on a 0.36T and a 1.5T scanner in Ibadan and Ilorin, Nigeria."
37,target field unresolved; field direction unresolved; paired/unpaired status not reported,Deep learning-based single image super-resolution for low-field MR brain images,2022,"29,059 training image pairs; 10,000 validation pairs; 7,292 test pairs; 190,000 training patches; 2 low-field brain scans from 2 healthy volunteers",Mixed,Mixed,Real,Not reported,Not reported,Not reported,T1-weighted; T2-weighted; FLAIR,Not reported,Not reported,Not reported,>64 mT,Unknown,low-field↔standard/high-field (direction unresolved),Measured/reference stated,Not reported, t2-weighted and flair images from 1.5t and 3t scanners; low-field mri scanner (50 mt) at leiden university medical center | excellent lmic relevance - explicitly designed for low-field mri accessibility. ,Yes,"NYU fastMRI Initiative database (fastmri.med.nyu.edu) with T1-weighted, T2-weighted and FLAIR images from 1.5T and 3T scanners; Low-field MRI scanner (50 mT) at Leiden University Medical Center"
38,input field unresolved,Deep learning for fast low-field MRI acquisitions,2022,"10 fully sampled 3D in vivo wrist/hand scans for training and validation (8 train, 2 validation); 6 additional scans for retrospective testing; 6 separate scans for prospective testing",Private_proprietary,Private,Mixed,Not reported,Not reported,Not reported,GRE,Phase/velocity,Not publicly available,ystem at the University of Basel (AMT Center); 3D spoiled GRE wrist images; not publicly available but available on request for noncommercial research | This paper is one of the few to directly train and validate a DL ,Unknown,>64 mT low-field,low-field→standard/high-field,Synthetic degradation/proxy,Paired by construction,one of the few to directly train and validate a dl reconstruction model on real low-field data rather than simulated lf data from high-field databases; the prospective validation is a key differentiator from m,Yes,In-house dataset acquired at 0.1T on a compact biplanar system at the University of Basel (AMT Center); 3D spoiled GRE wrist images; not publicly available but available on request for noncommercial research
39,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023,109 male participants,Prospective study of adult male patients with suspected prostate cancer,Clinical,Real,Not reported,Not reported,Not reported,T2-weighted,Not reported,Not reported,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,3t mri | precise-image-net was trained on 6 million image pairs of originally high-resolution and secondary downscaled ima,Yes,Precise-Image-Net was trained on 6 million image pairs of originally high-resolution and secondary downscaled images
40,input field unresolved; target field unresolved; field direction unresolved,Super resolution using sparse sampling at portable ultra-low field MR,2024,10 participants (6 female) plus a phantom,Patients with MS or suspected MS,Clinical,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,Unknown,low-field (direction unresolved),Synthetic degradation/proxy,Paired by construction,portable ultra-low field (0.064 tesla) | super resolution using sparse sampling at portable ultra-low field mr,Yes,
41,target field unresolved,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,70 individuals (Final sample),Community sample of young people (Ages 9–26 years),Clinical,Synthetic/derived,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Synthetic/derived (field unresolved),Unknown,low-field→standard/high-field,Synthetic degradation/proxy,Paired by construction,"ultra-low-field (64 mt / 0.064 t) vs. high-field (3.0 t) | synthsr was used (it is typically trained on synthetic data, though the paper uses ",Yes,"SynthSR was used (it is typically trained on synthetic data, though the paper uses a ""Hyperfine-specific version"")"
42,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,"159 patient scans with 5,744 slices for training/validation (80%/20%), 43 patient scans with 1,500 slices for testing",Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,DWI/DTI; Proton density,Phase/velocity,Publicly available,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"Public fastMRI knee dataset from NYU (single-coil acquisition, proton density weighted)"
43,target field unresolved,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022,Synthetic cerebrovascular: 6 patient-specific CFD simulations (120 training + 24 validation samples per 3-fold CV). In vivo cardiovascular: 21 healthy subjects (10 whole heart + 11 thoracic aorta). In vivo cerebrovascular: 3 patients with ICA aneurysm. Total: 24 in vivo + 6 synthetic subjects.,Mixed,Mixed,Mixed,Not reported,Not reported,Not reported,4D-flow,Phase/velocity,Not publicly available,ed in vivo sample size; (5) No WSS/KE quantitative assessment; (6) Datasets not publicly available.,>64 mT,Unknown,standard/high-field only,Synthetic degradation/proxy,Paired by construction," avanto, healthy subjects, prospective ecg triggering. in vivo cerebrovascular: 3t philips achieva tx, ica aneurysm patients, peripheral pulse triggering. institutions: tum, university of zurich, lmu mu",Yes,"Multi-center. Synthetic: CFD simulations (OpenFOAM) from patient-specific geometries segmented from 3D rotational angiograms. In vivo cardiovascular: 1.5T Siemens Avanto, healthy subjects, prospective ECG triggering. In vivo cerebrovascular: 3T Philips Achieva TX, ICA aneurysm patients, peripheral pulse triggering. Institutions: TUM, University of Zurich, LMU Munich."
44,target field unresolved; field direction unresolved,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021,"14 T2-weighted brain images (MS patients) for simulation experiments; 33 T2 FLAIR brain images (acquired LR, no ground truth); 1 marmoset PD image.",Clinical,Clinical,Mixed,Not reported,Not reported,Not reported,T2-weighted; FLAIR; Proton density,Not reported,Not reported,Not reported,>64 mT,Unknown,low-field↔standard/high-field (direction unresolved),Synthetic degradation/proxy,Paired by construction,systematic review. potential for lmic adaptation if optimized for lower compute/low-field. | smore: a self-supervised anti-aliasing and super-resolution algorithm for mri using deep learning,Yes,"Self-supervised: No external training data. Training pairs generated from the input image itself. Human data from Johns Hopkins/NIH (MS patients, 3T Philips Achieva)."
45,target field unresolved,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,"100 subjects from HCP dataset, 40 slices per subject = 4000 images total. Image size: 256×256 pixels. T1-weighted data. Test set: separate subject with 5 different sampling ratios.",Public_benchmark,Public benchmark,Synthetic/derived,Not reported,Not reported,Not reported,T1-weighted,Not reported,Publicly available,Not reported,>64 mT,Unknown,standard/high-field only,Synthetic degradation/proxy,Paired by construction,ard-field | human connectome project (hcp) dataset. scanner: customized siemens 3t 'connectome skyra' at washington university in st. louis. standard 32-channel siemens receive head coil. radial-based k,Yes,"Human Connectome Project (HCP) dataset. Scanner: customized Siemens 3T 'Connectome Skyra' at Washington University in St. Louis. Standard 32-channel Siemens receive head coil. Radial-based k-space undersampling (10%, 20%, 30%, 40%, 50%) to simulate accelerated acquisition."
46,input field unresolved; field direction unresolved,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021,4 volunteers; 200 XCAT phantom images; 91 non-medical images; 50 XCAT images; 42 MRIs for training,Mixed,Mixed,Mixed,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Unknown,>64 mT low-field,low-field (direction unresolved),Synthetic degradation/proxy,Paired by construction,low-field | viewray 0.35t mrigrt at washington university in st. louis; 4d xcat phantom; 91 non-medical images from yang et al. |,Yes,ViewRay 0.35T MRIgRT at Washington University in St. Louis; 4D XCAT Phantom; 91 non-medical images from Yang et al.
47,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,2023,3064 Images,Public_benchmark,Public benchmark,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,Figshare dataset that not mention its name
48,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,2023,10000 MRI scans,Public_benchmark,Public benchmark,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,Crystal Clean Brain Tumor MRI
49,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2021,Not reported,Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,Public Kaggle MRI dataset
50,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,2023,3160 images,Public_benchmark,Public benchmark,Real,Not reported,Not reported,Not reported,Not reported,Not reported,Publicly available,Not reported,Unknown,Unknown,Unknown,Not reported,Not reported,,Yes,"Public Kaggle dataset which is a combination of the following from three datasets; figshare, SARTAJ and Br35H datasets"
51,input field unresolved; target field unresolved; ground truth not reported; paired/unpaired status not reported,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,2020,17683 cardiac short-axis,Mixed,Mixed,Real,Not reported,Not reported,Not reported,DCE; Cine,Contrast-enhanced/DCE,Not publicly available,"kyunkwan University School of Medicine, Seoul, Republic of Korea, combined with publicly available work. Specifically, the total number of subjects used for model development was 110, which included internal data (n=77",Unknown,Unknown,standard/high-field only,Not reported,Not reported,,Yes,"The data used for model development came from a single-center internal dataset collected at Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Republic of Korea, combined with publicly available work. Specifically, the total number of subjects used for model development was 110, which included internal data (n=77) and publicly available work data (n=33)"
