Paper_ID,Title,Year,Field_Strength_Type,Field_Strength_Norm,Architecture_Norm,LMIC_Score,Low_Field_Norm,Resource_Constraints_Norm,Clinical_Validation_Norm,Main_Finding_1,Field_Category
23,Deep learning‑based single image super‑resolution for low‑field MR brain images,2022,Low-Field MRI,Low-field,CNN,3.0,Yes,Yes,None,Using a convolutional neural network can improve image quality,True cross-field
25,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,2023,Low-Field,Low-field,Hybrid,5.0,Yes,Yes,Radiologist visual,Dual-acquisition 3D deep learning super-resolution enables high-quality brain MRI at 0.055T with synthetic 1.5-mm isotropic resolution and effective noise and artifact suppression.,True cross-field
26,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,2024,Low-field,Low-field,U-Net,4.0,Yes,Yes,None,"Physics‑informed deep learning significantly outperforms classical model‑based reconstruction in low‑field MRI, boosting PSNR and reducing RMSE.",True cross-field
30,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,2024,1.5 and 3T MRI,Standard-field,U-Net,3.0,No,Yes,Retrospective validation,CLAHE preprocessing significantly improves segmentation performance over raw images,Multi-scanner standard
31,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,2021,1.5T and 3T MRI scanners,Standard-field,U-Net,3.0,No,Yes,Retrospective validation,"ShuffleUNet significantly improves single-image super-resolution of DW-MRI compared to trilinear, sinc, and UNet",Multi-scanner standard
32,Transfer learning in deep neural network based under-sampled MR image reconstruction,2021,1.5T and 3T,Standard-field,Other,4.0,Yes,No,Quantitative comparison,"U-Net generalization capability is limited when there is a change in scanner, anatomy, or acceleration factor.",Multi-scanner standard
34,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,2024,Low-field (0.4T) + High-field reference (3T),Low-field,U-Net,3.0,Yes,Yes,Multi-reader,A U-Net model can synthesize improved fat-suppressed T2-weighted images from low-field knee MRI inputs by leveraging training on 3T data.,True cross-field
35,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,Mixed,Mixed,GAN,4.0,Yes,Yes,Diagnostic comparison,"LowGAN significantly improved objective image quality metrics (SSIM, PSNR, NCC, FSIM) for low-field-strength images, particularly for T1-weighted and FLAIR sequences.",True cross-field
36,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,Mixed (0.36 T and 1.5 T),Mixed,U-Net,5.0,Yes,Yes,Multi-reader,"IQT can improve the visual quality of low-field MRI by enhancing grey-white matter differentiation and spatial resolution, particularly in non-axial planes, bringing its appearance closer to that of high-field scans.",True cross-field
37,Deep learning-based single image super-resolution for low-field MR brain images,2022,Low-field,Low-field,CNN,5.0,Yes,Yes,None,"Deep learning-based SISR using SRDenseNet can significantly improve low-field MR brain image quality, achieving PSNR improvements of 6-8 dB and SSIM improvements of 0.02-0.04 compared to zero-padding interpolation.",True cross-field
38,Deep learning for fast low-field MRI acquisitions,2022,Low_field (0.1T),Low-field,U-Net,5.0,Yes,Yes,Prospective validation,"A Residual U-net trained with only 10 subjects and data augmentation can reconstruct undersampled 0.1T MRI with statistically significant improvements in PSNR, SSIM, NRMSE, and sharpness over standard Fourier Transform reconstruction across three to fivefold acceleration rates, demonstrating viability with minimal training data",True cross-field
40,Super resolution using sparse sampling at portable ultra-low field MR,2024,Portable Ultra-Low Field (0.064 Tesla),Low-field,Non-AI,4.0,Yes,Yes,Radiologist visual,FouSR recovers information from under-sampled directions to create isotropic images with significantly higher sharpness,True cross-field
41,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,Ultra-low-field (64 mT / 0.064 T) vs. High-field (3.0 T),Low-field,CNN,4.0,Yes,Yes,Quantitative comparison,Standard single-acquisition low-field scans show moderate-to-high correspondence with 3T for global volumes but poor correspondence for white matter and cortical thickness.,True cross-field
42,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,Standard-field,Standard-field,GAN,2.0,No,No,None,"Ensemble learning of multiple GAN outputs with complementary priors achieves superior MRI super-resolution (PSNR 36.06 dB, SSIM 0.920) compared to any single GAN model or state-of-the-art methods, with 7+ dB improvement over best competing method.",Multi-scanner standard
44,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021,Standard-field,Standard-field,CNN,4.0,No,Yes,None,"SMORE's self-supervised approach learns LR→HR mapping from the image's own HR in-plane slices, eliminating need for external training data. Applicable to any MRI contrast without retraining.",Multi-scanner standard
45,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,Standard-field,Standard-field,Transformer,3.0,No,Yes,None,"First application of Swin Transformer to MRI reconstruction, combining advantages of CNN (inductive bias, translational equivariance) and Transformer (global context, self-attention) through RSTB blocks with convolutional layers.",Multi-scanner standard
46,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021,Low-field,Low-field,CNN,4.0,Yes,Yes,None,"ACNS achieved comparable image quality (PSNR, SSIM, IFC) to state-of-the-art methods while being 6-35x faster, with computation time of 0.15s per 100x100 pixels enabling potential real-time 4D MRI applications.",True cross-field
49,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2021,Standard-field,Standard-field,CNN,4.0,No,Yes,None,"The Deep Convolutional Neural Network (DCNN) classification technique achieved high diagnostic performance for Alzheimer’s disease (AD) prediction, recording an overall classification accuracy of 96% and precision of 97%. This performance was significantly better than the comparative K-nearest neighbor (KNN) algorithm, and the overall DCNN system resulted in a high Area Under Curve (AUC) value of 98%",Multi-scanner standard
51,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,2020,Standard-field,Standard-field,U-Net,2.0,No,Yes,None,"The proposed automatic myocardial segmentation method, which uses uncertainty estimation, achieved a mean Dice similarity score of 0.806 (±0.096), a result comparable to the 0.808 (±0.084) score achieved by the semi-automatic U-Net segmentation method. The fully automatic method also demonstrated a statistically significant correlation with the semi-automatic method (Intraclass Correlation Coefficient = 0.61, P<0.001)",Multi-scanner standard
