Analysis,Scoring_Form_ID,Mean_pairwise_agreement,Majority_share,Modal_score,Unanimous,Title
LMIC_Relevance_Score,21,0.4,0.6363636363636364,5,False,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image
LMIC_Relevance_Score,22,0.6727272727272727,0.8181818181818182,5,False,Digital Image Enhancement using Conventional Neural Network
LMIC_Relevance_Score,23,0.8181818181818182,0.9090909090909091,5,False,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network
LMIC_Relevance_Score,24,0.6727272727272727,0.8181818181818182,5,False,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution
LMIC_Relevance_Score,25,1.0,1.0,4,True,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning
LMIC_Relevance_Score,26,0.5636363636363636,0.7272727272727273,1,False,Multi-Contrast Super-Resolution MRI Through a Progressive Network
LMIC_Relevance_Score,27,0.43636363636363634,0.6363636363636364,5,False,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution
LMIC_Relevance_Score,28,0.23636363636363636,0.36363636363636365,1/5,False,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images
LMIC_Relevance_Score,29,0.38181818181818183,0.5454545454545454,1,False,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning
LMIC_Relevance_Score,30,0.8181818181818182,0.9090909090909091,5,False,Transfer learning in deep neural network based under-sampled MR image reconstruction
LMIC_Relevance_Score,31,1.0,1.0,4,True,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning
LMIC_Relevance_Score,32,0.8181818181818182,0.9090909090909091,5,False,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis
LMIC_Relevance_Score,33,0.8181818181818182,0.9090909090909091,5,False,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries
LMIC_Relevance_Score,34,0.8181818181818182,0.9090909090909091,4,False,Deep learning-based single image super-resolution for low-field MR brain images
LMIC_Relevance_Score,35,1.0,1.0,4,True,Deep learning for fast low-field MRI acquisitions
LMIC_Relevance_Score,36,0.6545454545454545,0.8181818181818182,1,False,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI
LMIC_Relevance_Score,37,0.8181818181818182,0.9090909090909091,5,False,Super resolution using sparse sampling at portable ultra-low field MR
LMIC_Relevance_Score,38,0.4909090909090909,0.6363636363636364,4,False,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people
LMIC_Relevance_Score,39,0.45454545454545453,0.5454545454545454,3,False,MRI Super-Resolution With Ensemble Learning and Complementary Priors
LMIC_Relevance_Score,40,0.3090909090909091,0.45454545454545453,3,False,SRflow: Deep learning based super-resolution of 4D-flow MRI data
LMIC_Relevance_Score,41,0.5272727272727272,0.7272727272727273,1,False,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning
LMIC_Relevance_Score,42,0.36363636363636365,0.45454545454545453,1/5,False,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction
LMIC_Relevance_Score,43,0.6727272727272727,0.8181818181818182,4,False,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI
LMIC_Relevance_Score,44,0.43636363636363634,0.6363636363636364,5,False,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor
LMIC_Relevance_Score,45,0.8181818181818182,0.9090909090909091,5,False,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning
LMIC_Relevance_Score,46,0.6545454545454545,0.8181818181818182,5,False,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images
LMIC_Relevance_Score,47,0.6545454545454545,0.8181818181818182,5,False,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images
LMIC_Relevance_Score,48,0.45454545454545453,0.5454545454545454,2,False,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network
TR_Score,1,0.2727272727272727,0.36363636363636365,0/2,False,Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images
TR_Score,2,0.34545454545454546,0.5454545454545454,0,False,Brain tumor segmentation in MRI with multi-modality spatial information enhancement and boundary shape correction
TR_Score,3,0.8181818181818182,0.9090909090909091,1,False,Deep-learning approach with convolutional neural network for classification of maximum intensity projections of dynamic contrast-enhanced breast magnetic resonance imaging
TR_Score,4,0.4909090909090909,0.6363636363636364,2,False,Improvement of peripheral nerve visualization using a deep learning-based MR reconstruction algorithm
TR_Score,5,0.38181818181818183,0.5454545454545454,1,False,Enhancement of brain tumor classification from MRI images using multi-path convolutional neural network with SVM classifier
TR_Score,6,0.34545454545454546,0.5454545454545454,1,False,A deep learning approach for brain tumor classification using MRI images
TR_Score,7,0.41818181818181815,0.6363636363636364,1,False,Automatic deep learning-based myocardial infarction segmentation from delayed enhancement MRI
TR_Score,8,0.34545454545454546,0.5454545454545454,1,False,Deep learning methods for automatic evaluation of delayed enhancement-MRI. The results of the EMIDEC challenge
TR_Score,9,0.41818181818181815,0.6363636363636364,2,False,Deep learning-based super-resolution gradient echo imaging of the pancreas: Improvement of image quality and reduction of acquisition time
TR_Score,10,0.43636363636363634,0.6363636363636364,0,False,Super-resolution and denoising of 4D-Flow MRI using physics-Informed deep neural nets
TR_Score,11,0.509090909090909,0.7272727272727273,3,False,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data
TR_Score,12,0.8181818181818182,0.9090909090909091,0,False,Super-resolution of brain MRI images based on denoising diffusion probabilistic model
TR_Score,13,0.43636363636363634,0.6363636363636364,1,False,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge
TR_Score,14,0.6727272727272727,0.8181818181818182,0,False,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN
TR_Score,15,0.8181818181818182,0.9090909090909091,0,False,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning
TR_Score,16,0.2909090909090909,0.45454545454545453,2,False,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance
TR_Score,17,0.6545454545454545,0.8181818181818182,0,False,Convolutional Neural Network-based Enhancement Method of 3D MRI
TR_Score,18,0.2909090909090909,0.45454545454545453,2,False,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure"
TR_Score,19,0.2909090909090909,0.45454545454545453,1,False,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters
TR_Score,20,0.23636363636363636,0.36363636363636365,1/2,False,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI
TR_Score,21,0.6727272727272727,0.8181818181818182,0,False,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image
TR_Score,22,0.8181818181818182,0.9090909090909091,0,False,Digital Image Enhancement using Conventional Neural Network
TR_Score,23,0.5636363636363636,0.7272727272727273,0,False,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network
TR_Score,24,0.34545454545454546,0.5454545454545454,2,False,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution
TR_Score,25,0.21818181818181817,0.36363636363636365,2,False,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning
TR_Score,26,0.5272727272727272,0.7272727272727273,1,False,Multi-Contrast Super-Resolution MRI Through a Progressive Network
TR_Score,27,0.6727272727272727,0.8181818181818182,0,False,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution
TR_Score,28,0.4909090909090909,0.6363636363636364,1,False,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images
TR_Score,29,0.4909090909090909,0.6363636363636364,1,False,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning
TR_Score,30,0.38181818181818183,0.5454545454545454,0,False,Transfer learning in deep neural network based under-sampled MR image reconstruction
TR_Score,31,0.38181818181818183,0.5454545454545454,2,False,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning
TR_Score,32,0.5272727272727272,0.7272727272727273,4,False,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis
TR_Score,33,0.38181818181818183,0.5454545454545454,3,False,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries
TR_Score,34,0.38181818181818183,0.5454545454545454,1,False,Deep learning-based single image super-resolution for low-field MR brain images
TR_Score,35,0.3090909090909091,0.45454545454545453,1,False,Deep learning for fast low-field MRI acquisitions
TR_Score,36,0.509090909090909,0.7272727272727273,2,False,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI
TR_Score,37,0.34545454545454546,0.5454545454545454,2,False,Super resolution using sparse sampling at portable ultra-low field MR
TR_Score,38,0.4909090909090909,0.6363636363636364,2,False,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people
TR_Score,39,0.6727272727272727,0.8181818181818182,0,False,MRI Super-Resolution With Ensemble Learning and Complementary Priors
TR_Score,40,0.21818181818181817,0.36363636363636365,0,False,SRflow: Deep learning based super-resolution of 4D-flow MRI data
TR_Score,41,0.45454545454545453,0.5454545454545454,1,False,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning
TR_Score,42,0.45454545454545453,0.5454545454545454,0,False,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction
TR_Score,43,0.45454545454545453,0.5454545454545454,1,False,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI
TR_Score,44,0.34545454545454546,0.5454545454545454,0,False,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor
TR_Score,45,0.3090909090909091,0.45454545454545453,0,False,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning
TR_Score,46,0.2727272727272727,0.36363636363636365,0/1,False,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images
TR_Score,47,0.45454545454545453,0.5454545454545454,0,False,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images
TR_Score,48,0.21818181818181817,0.36363636363636365,0,False,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network
