Paper_ID,DOI,Title,Year,Dataset_Name_Verified,Dataset_Size,Train_Validation_Test_Split,Dataset_Type,Dataset_Type_Norm_Corrected,Dataset_Real_Simulated,Input_Resolution,Target_Resolution,Resolution_Evidence,Sequence_Summary,Contrast_Summary,Dataset_Public_Availability,Dataset_Availability_Evidence,Input_Field_Category,Input_Field_Strength,Target_Field_Status,Target_Field_Strength,Target_Field_Strength_Detail,Target_Field_Category,Field_Pair_Category,Field_Pathway_Detail,Ground_Truth_Type,Ground_Truth_Source,Paired_Unpaired,Low_Field_Data_Provenance,Field_Evidence,Target_Field_Evidence_Page,Target_Field_Evidence_Section,Target_Field_Evidence_Source,Dataset_Evidence_Page,Dataset_Evidence_Section,Dataset_Evidence_Summary,Dataset_Evidence_Status,Dataset_Evidence_Source,Training_Data_Source
11,10.1016/j.bspc.2023.104901,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,2023,Amsterdam Open MRI Collection (open T1-weighted and diffusion-weighted brain MRI datasets),"928 healthy adults; 27,840 T1 slices; 18,360 diffusion-weighted slices","T1: 26,460 training, remainder validation/testing; DWI: 18,260 training, remainder validation/testing; validation/test subdivision not reported",Public_benchmark,Public benchmark,Real,16 × 16 synthetic low-resolution images,128 × 128 original high-resolution images,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,T1-weighted MRI; diffusion-weighted MRI,T1-weighted; diffusion-weighted (multiple diffusion gradients),Public,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Synthetic degradation/proxy,Original measured 128 × 128 MRI slices; LR images generated by bicubic downsampling,Paired by construction,Simulated/downsampled MRI data; scanner field strength not reported,Target field strength was not reported in the available full text.,2 | 2 | 3 | 8,§3.1 Data | §3.1 Data | Implementation | Data availability,Full-text article or supplied publisher text,2 | 2 | 3 | 8,§3.1 Data | §3.1 Data | Implementation | Data availability,Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,Amsterdam Open MRI collection
12,10.1016/j.artmed.2021.102196,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,2021,CHAOS abdominal MRI benchmark + subject-specific 3 T dynamic MRI,CHAOS: 40 subjects / 80 volumes (in-phase and opposed-phase); test/generalisation: 3 healthy subjects with static and 10-time-point pseudo-dynamic acquisitions,CHAOS main training/validation 70:30; each of 3 subjects used subject-specific static fine-tuning and dynamic inference,Mixed,Mixed,Mixed,"Artificial LR at 25%, 10%, and 6.25% of k-space; subject HR resolutions 1.09 × 1.09 × 4 mm (subjects 1–2) and 1.36 × 1.36 × 4 mm (subject 3)",Measured HR ground truth at the corresponding 3 T acquisition resolution,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured high-resolution reference.,CHAOS T1 dual in-/opposed-phase; subject T1w FLASH 3D,T1-weighted,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Unknown,3 T for subject-specific dynamic evaluation; CHAOS field strength not reported in article table,Explicitly reported,3 T for subject-specific dynamic evaluation,3 T for subject-specific dynamic evaluation,Standard/high-field,standard/high-field only,standard/high-field only,Measured high-resolution reference,Original high-resolution CHAOS/static/dynamic MRI before k-space undersampling,Paired by construction,Simulated low-resolution from standard/high-field MRI; no ≤64 mT acquisition,3 T for subject-specific dynamic evaluation,3 | 3 | 7,Table 1 | §2.1 Data | Results,Full-text article or supplied publisher text,3 | 3 | 7,Table 1 | §2.1 Data | Results,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Full text,Full-text article or supplied publisher text,CHAOS challenge dataset and single-center volunteer data
13,10.1016/j.cmpb.2024.108110,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,2024,Not available,Not available,Not available,Public_benchmark,Public benchmark,Not available,Not available,Not available,Dataset: Not available; availability: Not available; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,T1-weighted and T2-weighted MRI,T1w auxiliary prior; T2w LR input/HR output,Not available,Dataset: Not available; availability: Not available; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Not available,Not available,Not available,Not available,Not available,Unclear,unclear,Synthetic degradation/proxy,HR T2w target paired to LR T2w; exact LR construction not available in supplied extract,Paired by construction,Not available,Target field strength could not be verified from the available publisher text.,2 | 2 | 6,Method | Results/Conclusion | Network parameter setting snippet,Full-text article or supplied publisher text,2 | 2 | 6,Method | Results/Conclusion | Network parameter setting snippet,Dataset: Not available; availability: Not available; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Partial text,Full-text article or supplied publisher text,NAMIC dataset and IXI dataset
14,10.1016/j.cmpb.2019.105059,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,2020,IDI public knee MRI dataset,Not available,Not available,Mixed,Mixed,Not available,Not available,Not available,Dataset: Not available; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Knee MRI; sequence not available,Not available,Public,Dataset: Not available; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Not available,Not available,Not available,Not available,Not available,Unclear,unclear,Synthetic degradation/proxy,High-resolution reference images used for SR testing; exact LR construction not available,Paired by construction,Not available,Target field strength could not be verified from the available publisher text.,2 | 6 | 2,Abstract/Results | Experimental settings | Abstract,Full-text article or supplied publisher text,2 | 6 | 2,Abstract/Results | Experimental settings | Abstract,Dataset: Not available; availability: Public; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Partial text,Full-text article or supplied publisher text,I Do Imaging (IDI) dataset https://idoimaging.com/home
15,10.1007/s00330-024-11145-0,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,2025,Prospective 3 T cine CMR cohort,"30 participants: 20 healthy volunteers, 10 patients","Not applicable for evaluation cohort; vendor SR network pretrained on ~740,000 pairs and trained on >6 million low/high-resolution pairs",Clinical (Single center),Clinical,Mixed,cineDL acquired 2.98 × 3.00 mm² in-plane; reconstructed 1.04 × 1.04 mm²; 8-mm slice thickness,cineNR acquired 1.89 × 1.96 mm² in-plane; reconstructed 1.04 × 1.04 mm²; 8-mm slice thickness,Dataset: Mixed; availability: Not reported; pairing: Paired; ground truth: Measured same-subject reference.,Balanced steady-state free precession (bSSFP) cine CMR; short-axis and long-axis views,bSSFP cine,Not reported,Dataset: Mixed; availability: Not reported; pairing: Paired; ground truth: Measured same-subject reference.,Unknown,3.0 T,Explicitly reported,3.0 T,3.0 T,Standard/high-field,standard/high-field only,standard/high-field only,Measured same-subject reference,Prospectively acquired normal-resolution cineNR scans from the same participants,Paired,"Real 3 T low-spatial-resolution acquisition, not low-field MRI",3.0 T,1 | 3 | 3 | 3-4,Abstract | CMR protocol / SR network | SR reconstruction | Objective/Subjective image analysis,Full-text article or supplied publisher text,1 | 3 | 3 | 3-4,Abstract | CMR protocol / SR network | SR reconstruction | Objective/Subjective image analysis,Dataset: Mixed; availability: Not reported; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,"No model trained or fine-tuned in the paper, just used the vendor's model."
16,10.1109/ICREST51555.2021.9331123,Convolutional Neural Network-based Enhancement Method of 3D MRI,2021,BrainWeb simulated 3D MRI database,48 3D image volumes used for training; one BrainWeb volume described for practical evaluation,Not reported,Synthetic,Synthetic,Synthetic/derived,"Synthetic LR generated from 1-mm slice-select resolution HR volume by factors 2, 3, and 4, with added noise",Original 1-mm voxel-resolution 3D volume,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,3D brain MRI; sequence/contrast not reported,Not reported,Public,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Simulation/reference model,Original BrainWeb simulated 3D MRI volume,Paired by construction,Simulated/downsampled MRI data; no real low-field data,Target field strength was not reported in the available full text.,3 | 3 | 3,§IV-A Process of Training Set | Experiments | Experiments,Full-text article or supplied publisher text,3 | 3 | 3,§IV-A Process of Training Set | Experiments | Experiments,Dataset: Synthetic/derived; availability: Public; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,BrainWeb simulated database
17,10.1016/j.media.2023.102831,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",2023,Patient-specific in-silico cerebrovascular CFD cohort + in-vivo 4D-Flow MRI volunteer cohort,"4 in-silico models (Subjects 1, 2, 3a, 3b); 8 healthy in-vivo volunteers","In-silico: Subjects 1–2 training, Subject 3a validation, Subject 3b testing",Mixed,Mixed,Mixed,"Synthetic LR/HR pairs: 1.5/0.75, 1.0/0.5, 0.75/0.375 mm isotropic; in-vivo acquired at 1.1 and 0.8 mm isotropic","Synthetic targets 0.75, 0.5, 0.375 mm; in-vivo SR outputs 0.55 and 0.4 mm",Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Simulation/reference model.,4D Flow MRI; T1-weighted and TOF MRI used in patient-specific model construction,Phase-contrast 4D-Flow magnitude/velocity; T1w/TOF anatomical data,Private,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Simulation/reference model.,>64 mT,3 T for in-vivo cohort; synthetic CFD training has no scanner field,Explicitly reported,3 T for in-vivo acquired reference comparisons,3 T for in-vivo acquired reference comparisons,Standard/high-field,standard/high-field only,standard/high-field only,Simulation/reference model,High-resolution CFD flow/pressure fields for in-silico training/testing; paired higher-resolution in-vivo acquisitions for comparison,Paired by construction,Simulated low-spatial-resolution data plus real 3 T data; no real ≤64 mT MRI,3 T for in-vivo acquired reference comparisons,3 | 4 | 8 | 3,Fig. 2 | §2.2.2 | Fig. 5 caption | §2.1.1,Full-text article or supplied publisher text,3 | 4 | 8 | 3,Fig. 2 | §2.2.2 | Fig. 5 caption | §2.1.1,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Simulation/reference model.,Full text,Full-text article or supplied publisher text,Patient-specific CFD models and in-vivo data from 3T scanner
18,10.1109/ICAECT57570.2023.10117880,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,2023,Kaggle Alzheimer's 4-class image dataset,"Unclear: text states 1,279 MRI scans, but reported class counts (1,075 + 76 + 2,560 + 2,358) total 6,069",80% train / 20% test; 30% of training set used as validation_split during model training,Synthetic,Synthetic,Not reported,208 × 176 pixels (JPG images),Not applicable,Dataset: Not reported; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Not reported,Not reported,Public,Dataset: Not reported; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Unknown,Not reported,Not applicable,Not applicable,Not applicable,Not applicable,Not reported,not reported,Clinical annotation,"Kaggle dementia class labels (Mild, Moderate, Non-Demented, Very Mild); clinical provenance not reported",Not applicable,Neither real low-field nor low-field simulation reported,No distinct target field applies to this study design.,2 | 2 | 4,§III Dataset | §III Dataset | Reference [8],Full-text article or supplied publisher text,2 | 2 | 4,§III Dataset | §III Dataset | Reference [8],Dataset: Not reported; availability: Public; pairing: Not applicable; ground truth: Clinical annotation.,Full text,Full-text article or supplied publisher text,Kaggle Alzheimer's classification dataset.
19,10.1109/IST50367.2021.9651441,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,2024,TCIA PROSTATEx; Prostate-3T; Prostate Fused-MRI-Pathology; Prostate-Diagnosis; Prostate-MRI; Promaxo low-field phantom/human data,Stage-2 training: 429 PROSTATEx + 57 Prostate-3T image series; independent test: 960 2D slices from 11 T1/T2 series; real low-field sample count Not reported,Training data from TCIA; independent test set explicitly separate from training/testing/validation; validation proportion Not reported,"PROSTATEx, Prostate-3T, Prostate Fused-MRI-Pathology, Prostate-diagnosis and Prostate MRI.",Public benchmark,Mixed,Not reported,Not reported,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,T1; T2; proton density; diffusion-weighted; dynamic contrast-enhanced MRI,T1/T2/PD/DWI/DCE,Mixed,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Unknown,Simulated Promaxo-specific low-field inputs; real evaluation at 60–67 mT; high-field source images at 1.5 T/3 T,Explicitly reported,1.5 T/3 T source images used as high-quality references for simulated pairs,1.5 T/3 T source images used as high-quality references for simulated pairs,Mixed/conditional,Mixed,mixed,Synthetic degradation/proxy,Original high-field TCIA image paired with scanner-specific simulated low-field image,Paired by construction,Mixed — model trained on simulated low-field-like data derived from 1.5/3 T images and applied to real 60–67 mT phantom/human scans,1.5 T/3 T source images used as high-quality references for simulated pairs,"1,3,4",Abstract; Training and testing; Table II,Full-text article or supplied publisher text,"1,3,4",Abstract; Training and testing; Table II,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,
20,10.1109/TCBB.2022.3168189,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,2023,Whole Brain Atlas examples; knee MRI enhancement experiment; six multimodal image-fusion groups,Six multimodal image groups were evaluated; knee subject/sample count Not reported,Not reported,Repository of Images of the centra nervous system,Public benchmark,Real,Not reported,Not reported,Dataset: Real; availability: Not reported; pairing: Not reported; ground truth: Not reported.,MRI enhancement plus MRI-SPECT/MRI-PET fusion; knee MRI acquisition details not fully specified,MRI; MRI-SPECT; MRI-PET; specific MRI contrast Not reported,Not reported,Dataset: Real; availability: Not reported; pairing: Not reported; ground truth: Not reported.,Unknown,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,not reported,Not reported,Not reported,Not reported,Neither real low-field nor simulated low-field data are reported,Target field strength was not reported in the available full text.,"1,9,10",Affiliations; Experimental setting; Subjective evaluation,Full-text article or supplied publisher text,"1,9,10",Affiliations; Experimental setting; Subjective evaluation,Dataset: Real; availability: Not reported; pairing: Not reported; ground truth: Not reported.,Full text,Full-text article or supplied publisher text,Whole Brain Atlas database of Havard Medical School
