Paper_ID,Title,Field_Strength_Type,Input_Field_Category,Target_Field_Status,Target_Field_Strength,Target_Field_Category,Field_Pair_Category,Ground_Truth_Type,Paired_Unpaired,Field_Evidence,Target_Field_Evidence_Page,Target_Field_Evidence_Section,Target_Field_Evidence_Source
31,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,Low-field (0.4T) + High-field reference (3T),>64 mT,Explicitly reported,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,>64 mT low-field,Mixed,Paired measured/reference,Paired,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,1-4,Abstract; MRI protocol; DL model development,Full-text article or supplied publisher text
32,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,Mixed,Unknown,Explicitly reported,3 T measured same-subject target/reference,Standard/high-field,low-field → standard/high-field,Paired measured/reference,Paired,3 T measured same-subject target/reference,1-5,Abstract; MRI Scanning Procedures; DL Model; validation,Full-text article or supplied publisher text
33,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,Mixed (0.36 T and 1.5 T),>64 mT,Explicitly reported,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,Standard/high-field,low-field → standard/high-field,Not reported,Not reported,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,"1-4,9",Abstract; Methods; IQT training; radiologist evaluation; Data availability,Full-text article or supplied publisher text
34,Deep learning-based single image super-resolution for low-field MR brain images,Low-field,>64 mT,Explicitly reported,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan",Mixed/conditional,Mixed,Measured/reference stated,Not reported,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan","1,3,5,8-9",Abstract; imaging model; Dataset; low-field acquisition,Full-text article or supplied publisher text
35,Deep learning for fast low-field MRI acquisitions,Low_field (0.1T),Unknown,Explicitly reported,0.1 T same-acquisition fully sampled reference,>64 mT low-field,low-field → low-field,Synthetic degradation/proxy,Paired by construction,0.1 T same-acquisition fully sampled reference,"1-2,7,11",Abstract; Low-field data; Prospective study; Data availability,Full-text article or supplied publisher text
36,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,3T MRI,Unknown,Explicitly reported,3.0 T,Standard/high-field,standard/high-field only,Not reported,Not reported,3.0 T,"1-3,9",Abstract; MRI Protocol; DL framework; limitations,Full-text article or supplied publisher text
37,Super resolution using sparse sampling at portable ultra-low field MR,Portable Ultra-Low Field (0.064 Tesla),Unknown,Explicitly reported,64 mT-derived FouSR output; paired 3 T measured reference,≤64 mT,low-field → low-field,Synthetic degradation/proxy,Paired by construction,64 mT-derived FouSR output; paired 3 T measured reference,"1-2,7-8,11",Abstract; Methods; Discussion; Data availability,Full-text article or supplied publisher text
38,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,Ultra-low-field (64 mT / 0.064 T) vs. High-field (3.0 T),Synthetic/derived (field unresolved),Explicitly reported,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,Standard/high-field,low-field → standard/high-field,Synthetic degradation/proxy,Paired by construction,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,"1,3,12-13",Abstract; MRI acquisition; Data availability; Code availability,Full-text article or supplied publisher text
39,MRI Super-Resolution With Ensemble Learning and Complementary Priors,Standard-field,Unknown,Explicitly reported,1.5 T or 3 T measured HR reference,Standard/high-field,standard/high-field only,Not reported,Not reported,1.5 T or 3 T measured HR reference,"2,4,10",Methodology—Down-Sampling; Results—Experimental Implementation; Reference [43],Full-text article or supplied publisher text
40,SRflow: Deep learning based super-resolution of 4D-flow MRI data,Mixed,>64 mT,Explicitly reported,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,Standard/high-field,standard/high-field only,Synthetic degradation/proxy,Paired by construction,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,"6-8,12-13",2.4 Datasets; Table 1; 2.5 Data preparation; 3.1-3.2 Experiments; Table 5; Data availability,Full-text article or supplied publisher text
41,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,Standard-field,>64 mT,Explicitly reported,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments,Standard/high-field,Unclear,Synthetic degradation/proxy,Paired by construction,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments,"1,6,9-12",Footnote; §III-A simulation; §III-B acquired LR; Fig. 9; §III-C marmoset; §III-D time; Discussion,Full-text article or supplied publisher text
42,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,Standard-field,>64 mT,Explicitly reported,3 T customized Siemens Connectome Skyra,Standard/high-field,standard/high-field only,Synthetic degradation/proxy,Paired by construction,3 T customized Siemens Connectome Skyra,1-3,§II-A Image Acquisition and Processing; radial measurement matrix; §III-A Training and Evaluation,Full-text article or supplied publisher text
43,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,Low-field,Unknown,Explicitly reported,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength,>64 mT low-field,low-field → low-field,Synthetic degradation/proxy,Paired by construction,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength,"1,6-7,10-11",Abstract; §IV-A Experimental Data; §IV-B Training; Table 3; §IV-E/Table 6; Discussion,Full-text article or supplied publisher text
44,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not available,Not reported,Not reported,No distinct target field applies to this study design.,4-5,ScienceDirect section snippets; Results and discussion,Full-text article or supplied publisher text
45,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Not reported,Not reported,No distinct target field applies to this study design.,"1,3-5",Author affiliations; §III-A Dataset; §IV Results,Full-text article or supplied publisher text
46,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,Standard-field,Unknown,Not applicable,Not applicable,Not applicable,standard/high-field only,Not reported,Not reported,No distinct target field applies to this study design.,"1,4,9-12",Author affiliations; §3 Material and methods; Results; Acknowledgement,Full-text article or supplied publisher text
47,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,Not_specified,Unknown,Not applicable,Not applicable,Not applicable,Not reported,Not reported,Not reported,No distinct target field applies to this study design.,"1,5-6,8",Author affiliations; §4.1 Dataset/Table 2; §4.2 Training; Conclusions; Ref. 36,Full-text article or supplied publisher text
48,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,Standard-field,Unknown,Not applicable,Not applicable,Not applicable,Not available,Not reported,Not reported,No distinct target field applies to this study design.,2-5,Abstract; Introduction; Methods section snippet; Discussion,Full-text article or supplied publisher text
