Paper_ID,Title,Year,Architecture_Norm_Corrected,Application_Norm,LMIC_Score,TR_LowFieldDomain,TR_OpenScience,TR_ClinicalEvaluation,TR_HardwareAwareness,TR_DataDiversity,TR_Score,TR_LowFieldDomain_Status,TR_Manual_Review,TR_LowFieldDomain_Evidence,TR_ClinicalEvaluation_Evidence,TR_HardwareAwareness_Evidence,TR_DataDiversity_Evidence
35,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,2025,GAN,Brain,4,1,1,1,0,0,3,Yes,Yes,multisequence 3-t image synthesis from 64-mt low-field-strength mri using generative adversarial networks in multiple sclerosis | mixed | sr+diagnosis | hospital of the unive,"diagnostic_comparison lowgan increased white matter lesion segmentation agreement with 3-t imaging (dice score, 0.32 vs 0.28; p < ",,
36,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,2024,U-Net,Brain,5,0,1,1,0,0,2,No,Yes,evaluation of epilepsy lesion visualisation enhancement in low-field mri using image quality transfer: a preliminary investigation of clinical potential for applications in developing coun,"multi-reader (7 radiologists) iqt generally improved image quality assessments. however, evaluation of pathology on iqt images was affected by the ",,"public datasets (wu-minn human connectome project, leipzig study for mind-body-emotion interactions). evaluation: single-center data from patients scanned on a 0.36t and a 1.5t scanner in ibadan and ilorin,"
37,Deep learning-based single image super-resolution for low-field MR brain images,2022,CNN,Brain,5,0,0,0,0,1,1,No,Yes,"nificant details; no radiologist evaluation; limited to specific image size (64x64 to 128x128) | deep learning-based sisr using srdensenet can significantly improve low-field mr brain image quality, achie",,,"ri.med.nyu.edu) with t1-weighted, t2-weighted and flair images from 1.5t and 3t scanners; low-field mri scanner (50 mt) at leiden university medical center | mixed | srdensenet significantly outperformed zer"
38,Deep learning for fast low-field MRI acquisitions,2022,U-Net,Musculoskeletal,5,0,0,0,1,1,2,No,Yes,deep learning for fast low-field mri acquisitions | low_field (0.1t) | reconstruction of undersampled mri (accelerated acquisition) | in-house dataset a,,"rom most comparable work; training computation was done on a single gtx 1080 ti gpu in 1.5 hours, suggesting low compute requirements suitable for resource-constrained settings; no clinical pathology was",tifact suppression and detail preservation. | model trained on only 10 subjects generalized successfully to prospectively acquired fivefold undersampled wrist mri at 0.1t; global structure and edge sharpness w
39,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,2023,CNN,Prostate,3,0,0,1,0,1,2,No,Yes,,pi-rads score agreement assessment by two board-certified radiologists with intra- and interreader reproducibility testing excellent agreement for pi-rads scores (cohen $\kappa$ 0.92–0.94);,,
40,Super resolution using sparse sampling at portable ultra-low field MR,2024,Non-AI,Brain,4,0,0,1,0,1,2,No,Yes,g sparse sampling at portable ultra-low field mr | portable ultra-low field (0.064 tesla) | developing a fourier-based super resolution (fousr) approach to enhance ulf mri resolution with minimal scan tim,,,"ages with significantly higher sharpness | the method can be implemented on the scanner with an estimated 60% increase in scan time compared to a single plane | unlike deep learning methods, fousr does not r"
41,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,2024,CNN,Pediatric,4,0,0,1,0,1,2,Unclear,Yes,eld and high-field magnetic resonance images in young people | ultra-low-field (64 mt / 0.064 t) vs. high-field (3.0 t) | testing super-resolution methods to improve the quality and correspondence of low-f,"quantitative comparison of automated brain segmentation (freesurfer) measures between low-field and high-field scans high correspondence for global volumes (intracranial, tota",,
42,MRI Super-Resolution With Ensemble Learning and Complementary Priors,2020,GAN,Musculoskeletal,2,0,0,0,0,0,0,No,Yes,,,,
43,SRflow: Deep learning based super-resolution of 4D-flow MRI data,2022,CNN,Flow,3,0,0,0,1,1,2,No,Yes,,,"ent over cubic b-spline for 4x super-resolution of 4d-flow mri, with 10x faster inference time enabling potential real-time clinical application. | the novel mutually projected ℓ1 (mp-ℓ1) loss function provide",multi-center. synthetic: cfd simulations (openfoam) from patient-specific geometries segmented from 3d rotational angiograms. in viv
44,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,2021,CNN,Brain,4,0,0,0,0,1,1,No,Yes,systematic review. potential for lmic adaptation if optimized for lower compute/low-field. | authors identify: (1) not robust to motion artifacts; (2) not robust to slice-to-slice gain irregularities; (3) smor,,,if optimized for lower compute/low-field. | authors identify: (1) not robust to motion artifacts; (2) not robust to slice-to-slice gain irregularities; (3) smore(2d) not tested with slice separation ≠ slice
45,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,2021,Transformer,Brain,3,0,0,0,1,1,2,No,Yes,,,function: l = λ1·l1(spatial) + λ2·l1(frequency domain). hardware: 4× gtx 1080ti gpus. | smir achieves best ssim and lowest mae across all 5 k-space sampling ratios (10-50%) compared to bicubic interpolat,human connectome project (hcp) dataset. scanner: customized siemens 3t 'connectome skyra' at washington university in st. louis. standard 32-channel siemens receive he
46,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,2021,CNN,General,4,0,0,0,1,0,1,No,Yes,toencoder-inspired convolutional network-based super-resolution method in mri | low-field | pure_sr | viewray 0.35t mrigrt at washington university in st. louis; 4d xcat phantom; 91 non-medical images from yan,,,
47,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,2023,CNN,Brain,4,0,0,0,1,1,2,No,Yes,,,,
48,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,2023,CNN,Brain,4,0,0,0,0,0,0,No,Yes,,,,
49,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,2021,CNN,Brain,4,0,0,0,1,1,2,No,Yes,,,,
50,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,2023,CNN,Brain,4,0,0,0,1,1,2,No,Yes,,,,"source-constrained platforms | enhancement aligns data distributions, improving generalization the image enhancement process helps align the distributions of image samples between the training dataset and the "
51,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,2020,U-Net,Cardiac,2,0,0,0,1,0,1,No,Yes,,,,
