Paper_ID,DOI,Title,Primary_Focus_Source,Primary_Focus_Corrected,Primary_SR_Sensitivity_Eligible,Pure_or_Denoising_SR_Eligible,Classification_Basis,Evidence_Section,Scope_Rationale
16,10.1109/icrest51555.2021.9331123,Convolutional Neural Network-based Enhancement Method of 3D MRI,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
17,10.1016/j.media.2023.102831,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",SR+Diagnosis,SR + Diagnosis,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Diagnosis; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
18,10.1109/icaect57570.2023.10117880,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
19,10.1109/ist50367.2021.9651441,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,Denoising + SR,Other,No,No,Full-text scope correction,Abstract and Methods,"Low-field denoising and artifact correction are described, without a reported spatial-upsampling task or higher-resolution output."
20,10.1109/tcbb.2022.3168189,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
21,10.1016/j.mri.2024.04.021,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
22,10.1002/mrm.29642,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,Denoising+SR,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
23,10.1109/tbme.2024.3396223,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,denoising and distortion correction in low‑field MRI,Other,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Other; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
24,10.1109/tmi.2020.2974858,Multi-Contrast Super-Resolution MRI Through a Progressive Network,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
25,10.1016/j.compmedimag.2021.101969,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,Generate high resolution from low resolution images,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
26,10.1016/j.bspc.2023.105710,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,Multi-class semantic segmentation of myocardial infarction and microvascular obstruction,Other,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Other; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
27,10.23919/eusipco54536.2021.9615963,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,"Single-image super-resolution for 3D diffusion-weighted brain MRI to recover high-resolution volumes from low-resolution inputs, enabling shorter scan times and reducing motion artefacts",Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
28,10.1016/j.mri.2020.09.018,Transfer learning in deep neural network based under-sampled MR image reconstruction,Assessing generalization and applying Transfer Learning,Other,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Other; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
29,10.7759/cureus.71277,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,SR + Image generation/contrast enhancement,SR + Other,Yes,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Other; included in the SR-primary sensitivity cohort under the stated category rule.
30,10.1148/radiol.233529,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,SR+Diagnosis,SR + Diagnosis,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Diagnosis; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
31,10.1007/s00234-024-03448-2,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,Denoising + SR,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
32,10.1038/s41598-022-10298-6,Deep learning-based single image super-resolution for low-field MR brain images,Denoising+SR,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
33,10.1038/s41598-022-14039-7,Deep learning for fast low-field MRI acquisitions,Reconstruction of undersampled MRI (accelerated acquisition),Other,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Other; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
34,10.1148/radiol.230427,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,Super-resolution (SR) and denoising to reduce acquisition time while maintaining or improving image quality in T2-weighted prostate MRI,SR + Denoising,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Denoising; included in the SR-primary sensitivity cohort under the stated category rule.
35,10.3389/fneur.2024.1339223,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,Testing super-resolution methods to improve the quality and correspondence of low-field MRI scans with high-field standards in young people,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
36,10.1109/tci.2020.2964201,MRI Super-Resolution With Ensemble Learning and Complementary Priors,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
37,10.3389/frai.2022.928181,SRflow: Deep learning based super-resolution of 4D-flow MRI data,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
38,10.1109/tmi.2020.3037187,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
39,10.1109/icmipe53131.2021.9698880,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
40,10.1109/jtehm.2021.3076152,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,Pure_SR,Pure SR,Yes,Yes,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is Pure SR; included in the SR-primary sensitivity cohort under the stated category rule.
41,10.1016/j.bspc.2022.104395,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
42,10.1109/icscna58489.2023.10370139,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
43,10.1016/j.measurement.2020.108838,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,SR+Diagnosis,SR + Diagnosis,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Diagnosis; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
44,10.18280/ts.400329,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,SR+Classification,SR + Classification,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Classification; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
45,10.1016/j.cmpb.2019.105150,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,SR+Segmentation,SR + Segmentation,No,No,Structured study-characteristics field,Primary_Focus extraction field,The extracted primary-focus category is SR + Segmentation; the study remains in the broad MRI corpus but is outside the SR-primary sensitivity cohort.
