Paper_ID,DOI,Title,Evidence_Document,Evidence_Source,Rubric_Version,TR_LowFieldDomain,TR_LowFieldDomain_Decision,TR_LowFieldDomain_Evidence_Page,TR_LowFieldDomain_Evidence_Section,TR_LowFieldDomain_Reason,TR_OpenScience,TR_OpenScience_Decision,TR_OpenScience_Evidence_Page,TR_OpenScience_Evidence_Section,TR_OpenScience_Reason,TR_ClinicalEvaluation,TR_ClinicalEvaluation_Decision,TR_ClinicalEvaluation_Evidence_Page,TR_ClinicalEvaluation_Evidence_Section,TR_ClinicalEvaluation_Reason,TR_HardwareAwareness,TR_HardwareAwareness_Decision,TR_HardwareAwareness_Evidence_Page,TR_HardwareAwareness_Evidence_Section,TR_HardwareAwareness_Reason,TR_DataDiversity,TR_DataDiversity_Decision,TR_DataDiversity_Evidence_Page,TR_DataDiversity_Evidence_Section,TR_DataDiversity_Reason,TR_Score
11,10.1101/2023.12.28.23300409,Multi-contrast high-field quality image synthesis for portable low-field MRI using generative adversarial networks and paired data,11. Multi contrast highfield qualityimage synthesis(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,1,Yes,"2,5",Abstract; Training datasets,"The GAN is trained on real 64 mT inputs, satisfying ≤64 mT exactly.",0,No,6,Data Availability,A future-release statement is not a current persistent public URL to the study code/weights.,1,Yes,"2,6-9",Methods/Results,The model is evaluated on clinically meaningful downstream MS lesion burden and brain morphometry measures.,0,No,Not reported,Full text review,"No explicit inference/deployment device, RAM requirement, model size, or device-tied inference time is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,"2,4-5",Participants; MRI procedures,Two medical centers and two field strengths/scanner types are explicitly represented.,3
12,10.1016/j.bspc.2023.104901,Super-resolution of brain MRI images based on denoising diffusion probabilistic model,12. Super resolution of brain MRI images(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-3,Methods,"No scanner field strength is reported; low resolution is generated by downsampling, not demonstrated ≤64 mT acquisition. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,8,Data availability,"No persistent public source-code/model-weight URL is provided. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,4-8,Experiments,Evaluation is image-quality/SR benchmarking without reader assessment or downstream clinical task.,0,No,3,Implementation,The only explicit device context is the experimental/training workstation; no inference/deployment requirement is stated.,0,No,2-8,Methods/Experiments,The paper does not explicitly evaluate scanner/vendor/multicentre variability or external real-world generalisation.,0
13,10.1016/j.artmed.2021.102196,Fine-tuning deep learning model parameters for improved super-resolution of dynamic MRI with prior-knowledge,13. Fine tuning deep learning parameters(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,3,§2.1 Data,No ≤64 mT training/fine-tuning.,0,No,3,§2.1 footnote,"A persistent public URL exists for the undersampling pipeline, but it is not clearly the source code/model weights of the SR model itself. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,5-7,Experiments,No radiologist/clinical reader assessment or downstream clinical task is evaluated.,0,No,"4,7",§2.3; Results,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,"1,3",Abstract; §2.1,The study explicitly tests generalisation across acquisition parameter variation.,1
14,10.1016/j.cmpb.2024.108110,3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN,14. 3D-MRI super-resolution reconstruction using multi-modality based on multi-resolution CNN - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Dataset section inaccessible,"Field strength/training domain cannot be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Master/accessible export,"The Master records code 'Upon request'; this does not qualify as public Open Science, and no public persistent URL is visible.",0,No,2,Abstract,Image reconstruction metrics/quality only; no reader assessment or downstream clinical task is visible.,0,No,6,Network parameter setting,"The accessible hardware statement describes experiment/training environment, not inference/deployment requirements.",1,Yes,2,Conclusion,Explicit evaluation on another dataset supports external generalisation.,1
15,10.1016/j.cmpb.2019.105059,Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning,15. Super-resolution reconstruction of knee magnetic resonance imaging based on deep learning - ScienceDirect(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Acquisition details inaccessible,"Cannot verify ≤64 mT training. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not available,Code availability inaccessible,"No persistent study-code/model-weight URL can be verified. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,"2,6",Abstract/Results,No reader assessment or downstream clinical task is reported in the accessible content.,0,No,"2,6",Results; Experimental settings,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",0,No,2-6,Accessible sections,No explicit multicentre/scanner/vendor/motion/external-generalisation analysis is visible.,0
16,10.1007/s00330-024-11145-0,Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance,16. Deep learning super-resolution reconstruction for fast and high-quality cine cardiovascular magnetic resonance - Copy(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,3,CMR protocol,No ≤64 mT training/fine-tuning.,0,No,Not reported,Full text review,"No persistent public study-code/model-weight URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,3-4,Objective and Subjective image analysis,Clinical readers assessed subjective image quality; cardiac volumetric/strain endpoints were also compared.,0,No,3,SR reconstruction,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,"1,3-9",Prospective cohort/Results,Prospective real-world acquisition includes both healthy volunteers and patients and evaluates artifacts/clinical metrics.,2
17,10.1109/ICREST51555.2021.9331123,Convolutional Neural Network-based Enhancement Method of 3D MRI,17. Convolutional_Neural_Network-based_Enhancement_Method_of_3D_MRI(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,3,Experiments,"No measured/model-training field strength at ≤64 mT is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not reported,Full text review,"No persistent public study-code/model-weight URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,3-4,Experiments,Only simulated SR/image-quality evaluation is performed.,0,No,3,Experiments,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",0,No,3-4,Experiments,No real-world scanner/vendor/multicentre/prospective generalisation evaluation is performed.,0
18,10.1016/j.media.2023.102831,"Cerebrovascular super-resolution 4D Flow MRI - Sequential combination of resolution enhancement by deep learning and physics-informed image processing to non-invasively quantify intracranial velocity, flow, and relative pressure",18. Cerebralvascular super resolution 4D flow MRI sequential recombination(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,4,§2.2.2,No ≤64 mT training/fine-tuning.,1,Yes,3,§2.1.1,Persistent public GitHub URL explicitly includes trained weights.,1,Yes,"1,8-10",Abstract; §3.2,The model is evaluated on clearly defined downstream quantitative cerebrovascular hemodynamic endpoints in in-vivo data.,0,No,3-4,Training setup,Resource text concerns training memory/batch setup; no inference/deployment hardware requirement is reported.,1,Yes,"1,4,8-10",Abstract; §2.2.2; §3.2,The study explicitly transfers from synthetic training to in-vivo acquisition and evaluates multiple acquisition resolutions.,3
19,10.1109/ICAECT57570.2023.10117880,Deep Learning based Early Detection of Alzheimer’s Disease using Image Enhancement Filters,19. Deep_Learning_based_Early_Detection_of_Alzheimers_Disease_using_Image_Enhancement_Filters(2).pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not reported,Full text review,"No field strength or ≤64 mT training is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not reported,Full text review,"The dataset URL is public, but no persistent study source-code/model-weight URL is provided. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1-4,Abstract/Results,"The evaluated output is a defined disease-stage classification task, which is a downstream clinical task under the supplied rule.",0,No,2,Methods overview,"General computational/deployment statements are given without explicit device, memory, model-size, or device-tied inference requirements.",0,No,2-4,Methods/Results,"Class imbalance is addressed, but the specified scanner/vendor/multicentre/motion/external-generalisation challenges are not evaluated.",1
20,10.1109/IST50367.2021.9651441,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,20. Deep_Learningbased_Method_for_Denoising_and_Image_Enhancement_in_Low-Field_MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,"Training simulations are scanner-specific but span a reported 60–67 mT real scanner range; the text does not establish that training/fine-tuning was entirely ≤64 mT. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,Not reported,Code/Data availability review,"No persistent public URL to source code or model weights is provided. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,4,Results/real low-field examples,"Human images are shown, but no radiologist/clinical-reader assessment or defined downstream clinical task is reported.",0,No,Not reported,Full text review,"No inference/deployment CPU, GPU, memory, model-size, or device-tied execution requirement is reported; general low-field affordability does not qualify.",1,Yes,1,Abstract,The method explicitly models scanner-specific noise/artifacts and is transferred from simulations to real low-field phantom/human acquisitions.,1
21,10.1109/TCBB.2022.3168189,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,21. Deep_Transfer_Learning-Based_Multi-Modal_Digital_Twins_for_Enhancement_and_Diagnostic_Analysis_of_Brain_MRI_Image.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-13,Full text review,The study does not report training/fine-tuning on ≤64 mT MRI.,0,No,Not reported,Full text review,"No persistent public study code/model URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,9,Subjective evaluation,"Observers are described as image-fusion observers, not radiologists/clinical readers, and no downstream clinical task is evaluated.",0,No,9,Experimental environment,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",0,No,9,Experimental evaluation,"Multiple modality pairs are shown, but scanner/vendor/multicentre/real-world acquisition heterogeneity is not analyzed.",0
22,10.1109/INOCON57975.2023.10100995,Digital Image Enhancement using Conventional Neural Network,22. Digital_Image_Enhancement_using_Conventional_Neural_Network.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-5,Full text review,MRI appears only in general discussion; there is no ≤64 mT model training.,0,No,5,References,"The persistent URL is a dataset page, not a URL to this study's source code or model weights.",0,No,1-5,Full text review,No qualifying clinical evaluation is present.,0,No,Not reported,Full text review,"No inference/deployment resource requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-5,Full text review,No qualifying MRI data-diversity analysis exists.,0
23,10.1016/j.mri.2024.04.021,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,23. MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-11,Full text review,The work is conventional MRI super-resolution and does not report ≤64 mT training.,0,No,Not reported,Full text review,"No persistent public code/model URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-11,Experiments,Evaluation is algorithmic image-quality benchmarking without clinical readers or a downstream clinical task.,0,No,2,Abstract,The paper discusses computational/memory efficiency but does not report deployment/inference hardware requirements.,1,Yes,2,Abstract,"The model is evaluated on two distinct MRI datasets, providing external cross-dataset generalisation evidence.",1
24,10.1002/mrm.29642,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,24. Pushing the limits of low‐cost ultra‐low‐field MRI by dual‐acquisition deep.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,1,Yes,1,Methods summary,"The training data are explicitly synthesized for a 0.055 T (55 mT) domain, satisfying the ≤64 mT criterion.",0,No,Not reported,Full text review,"No persistent public source-code/model-weight URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,6,In-vivo evaluation,"Patients were imaged and lesions compared with 3 T, but the paper does not report a qualifying clinical-reader assessment or defined downstream task under the strict TR rule.",0,No,5,Implementation,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",1,Yes,6,In-vivo evaluation,"Synthetic-to-real transfer, age variation, repeated acquisitions, and patient imaging are explicitly evaluated.",2
25,10.1109/TBME.2024.3396223,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,25. Joint B0 and Image Reconstruction in Low-Field.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,1,Yes,5,Simulation Training Data,"The network is trained end-to-end on simulated ~50 mT data, which is below 64 mT.",0,No,Not reported,Full text review,"No persistent public study code/model URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-12,Full text review,No reader study or downstream clinical task is reported.,0,No,1-12,Implementation review,No inference/deployment hardware requirement is reported; training hardware alone is excluded.,1,Yes,1,Abstract,"The method explicitly evaluates robustness to noise and B0-field variability, real-world low-field reconstruction challenges.",2
26,10.1109/TMI.2020.2974858,Multi-Contrast Super-Resolution MRI Through a Progressive Network,26. Multi-Contrast_Super-Resolution_MRI_Through_a_Progressive_Network.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,5,Dataset description,No field strength at or below 64 mT is reported; low resolution is created by spatial downsampling.,0,No,Not reported,Full text review,"Dataset access references do not provide study source code/model weights. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,10,Reader study,Qualified clinical readers directly assessed super-resolved images.,0,No,1-12,Implementation review,No inference/deployment resource requirement is reported; training hardware does not qualify.,1,Yes,5,Datasets,"The method is evaluated on two independent datasets with different reference contrasts, supporting external generalisation.",2
27,10.1016/j.compmedimag.2021.101969,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,27. FA-GAN Fused attentive generative adversarial networks for MRI.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1-11,Full text review,"Low resolution is created by bicubic interpolation, not ≤64 mT training.",0,No,Not reported,Full text review,"No persistent public study code/model URL is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-11,Experiments,Evaluation is image-quality benchmarking without clinical-reader assessment/downstream clinical task.,0,No,6,Experimental setup,This is experiment/training hardware and is not an inference/deployment requirement.,0,No,6,Experimental setup,"Multiple datasets/anatomies are used, but the paper does not explicitly analyze scanner/vendor/multicentre/real-world variability or external deployment generalisation.",0
28,10.1016/j.bspc.2023.105710,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,28. Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images - ScienceDirect.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,Not available,Acquisition/training details,"Field strength and complete training details are not accessible in the supplied export; ≤64 mT training cannot be established. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-11,Full text export review,"No persistent public code/model URL appears in the accessible content. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,2,Abstract,Benchmark segmentation performance alone does not satisfy the strict clinical-evaluation criterion.,0,No,1,Highlights,"The article mentions computational hardware or execution, but not explicit minimum inference hardware requirements; the official criterion is No.",0,No,2,Abstract,Accessible evidence shows a single benchmark dataset and no qualifying external/multicentre/generalisation analysis.,0
29,10.23919/EUSIPCO54536.2021.9615963,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,arXiv:2102.12898 (correct ShuffleUNet article),"Author manuscript retrieved from arXiv and matched by title, authors, and DOI",LMIC_and_TR_Score_Definitions_2026-08-15,0,No,4,Dataset,"Training uses artificially downsampled IXI data acquired at 1.5 T and 3 T, not data at or below 64 mT.",0,No,1-5,Full-text search,The article links the IXI dataset but provides no persistent URL to the study source code or model weights.,0,No,3-4,Evaluation and Results,Evaluation uses image-quality and derived diffusion metrics without radiologist assessment or performance on a defined downstream clinical task.,0,No,2,Implementation,"An Nvidia V100 is reported for training, but minimum hardware requirements for inference are not specified.",1,Yes,"1, 5",Introduction and Conclusion,The study explicitly addresses motion artefacts caused by long diffusion-MRI acquisitions through an accelerated super-resolution workflow.,1
30,10.1016/j.mri.2020.09.018,Transfer learning in deep neural network based under-sampled MR image reconstruction,30. Transfer learning in deep neural network based under-sampled MR image reconstruction.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,"Training/fine-tuning uses 1.5 T and 3 T data, not ≤64 mT.",0,No,Not reported,Full text review,"No persistent public study code/model URL is provided. Under the official rule, absence of explicit qualifying evidence is scored No.",0,No,1-12,Results,Evaluation is reconstruction quality; no clinical-reader assessment or downstream clinical task is reported.,0,No,3,Implementation,The cited GPU/RAM environment is for training/experimentation; no inference/deployment requirement is reported.,1,Yes,1,Abstract,"The study explicitly tests and fine-tunes across scanner field strengths, anatomies, and undersampling factors.",1
31,10.7759/cureus.71277,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,31. Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,0,No,1,Abstract,Training is performed on 3 T data; 0.4 T is above the strict 64 mT threshold and is used only for application/evaluation.,0,No,Not reported,Full text review,"No persistent public source-code/model-weight URL is provided. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1,Abstract,"Two board-certified radiologists evaluated anatomy, noise, abnormality detection, and diagnostic confidence.",0,No,Not reported,Full text review,"No qualifying inference/deployment hardware requirement is reported. Under the official rule, absence of explicit qualifying evidence is scored No.",1,Yes,1,Abstract,The study explicitly evaluates cross-field/scanner transfer on an independent real clinical low-field cohort.,2
32,10.1148/radiol.233529,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,32. Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using.pdf,Article text supplied for verification,LMIC_and_TR_Score_Definitions_2026-08-15,1,Yes,1,Abstract,"LowGAN is trained on paired real 64 mT inputs, meeting the ≤64 mT threshold.",1,Yes,5,Code availability,A persistent public GitHub URL to study source code is provided.,1,Yes,5,Clinical validation,A board-certified neuroradiologist validates image/lesion outputs.,0,No,5,Implementation,"The article reports an execution setup, runtime, memory use, or scanner implementation, but it does not explicitly specify minimum hardware requirements for inference; the official criterion is No.",1,Yes,2,Validation cohort,"Two institutions, heterogeneous high-field protocols, a separate validation cohort, and explicit generalizability testing qualify.",4
