Paper_ID,Title,Target_Field_Status,Target_Field_Strength,Target_Field_Category,Field_Pathway,Evidence_Page,Evidence_Section,Evidence_Summary,Evidence_Source,DOI
19,Deep Learning-based Method for Denoising and Image Enhancement in Low-Field MRI,Explicitly reported,1.5 T/3 T source images used as high-quality references for simulated pairs,Mixed/conditional,Mixed,"1,3,4",Abstract; Training and testing; Table II,1.5 T/3 T source images used as high-quality references for simulated pairs,Full-text article or supplied publisher text,10.1109/ist50367.2021.9651441
20,Deep Transfer Learning-Based Multi-Modal Digital Twins for Enhancement and Diagnostic Analysis of Brain MRI Image,Not reported,Not reported,Not reported,Not reported,"1,9,10",Affiliations; Experimental setting; Subjective evaluation,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1109/tcbb.2022.3168189
21,MRI super-resolution using similarity distance and multi-scale receptive field based feature fusion GAN and pre-trained slice interpolation network,Not reported,Not reported,Not reported,Not reported,"1,2,7",Abstract; Dataset description; experiments,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1016/j.mri.2024.04.021
22,Pushing the limits of low-cost ultra-low-field MRI by dual-acquisition deep learning 3D superresolution,Explicitly reported,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,≤64 mT,low-field → low-field,"1,3,5,6",Abstract; Training data; Acquisition; patient evaluation,0.055 T-derived 1.5-mm SR output; 3 T MRI used as high-field reference/comparison,Full-text article or supplied publisher text,10.1002/mrm.29642
23,Joint B0B0​ and Image Reconstruction in Low-Field MRI by Physics-Informed Deep-Learning,Explicitly reported,Approximately 50 mT reconstructed image/field-map target,≤64 mT,low-field → low-field,"1,5,6",Abstract; Simulation Training Data; experiments,Approximately 50 mT reconstructed image/field-map target,Full-text article or supplied publisher text,10.1109/tbme.2024.3396223
24,Multi-Contrast Super-Resolution MRI Through a Progressive Network,Not reported,Not reported,Not reported,Not reported,"5,10",Dataset description; reader study,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1109/tmi.2020.2974858
25,FA-GAN: Fused attentive generative adversarial networks for MRI image super-resolution,Not reported,Not reported,Not reported,Not reported,"1,6",Abstract; Experimental setup,Target field strength was not reported in the available full text.,Full-text article or supplied publisher text,10.1016/j.compmedimag.2021.101969
26,Deep learning myocardial infarction segmentation framework from cardiac magnetic resonance images,Not applicable,Not applicable,Not applicable,Not available,1-7,Abstract; Introduction; Methodology snippets; preprocessing,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.bspc.2023.105710
27,ShuffleUNet: Super resolution of diffusion-weighted MRIs using deep learning,Not available,Not available,Not available,Not available,1,PDF identity check,Target field strength could not be verified from the available publisher text.,Full-text article or supplied publisher text,10.23919/eusipco54536.2021.9615963
28,Transfer learning in deep neural network based under-sampled MR image reconstruction,Explicitly reported,Same field strength as each corresponding fully sampled reference,Standard/high-field,standard/high-field only,"1,3-5",Abstract; Methods; dataset descriptions,Same field strength as each corresponding fully sampled reference,Full-text article or supplied publisher text,10.1016/j.mri.2020.09.018
29,Enhancement of Image Quality in Low-Field Knee MR Imaging Using Deep Learning,Explicitly reported,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,>64 mT low-field,Mixed,1-4,Abstract; MRI protocol; DL model development,0.4 T-derived enhanced output; 3 T high-quality data used for training reference,Full-text article or supplied publisher text,10.7759/cureus.71277
30,Multisequence 3-T Image Synthesis from 64-mT Low-Field-Strength MRI Using Generative Adversarial Networks in Multiple Sclerosis,Explicitly reported,3 T measured same-subject target/reference,Standard/high-field,low-field → standard/high-field,1-5,Abstract; MRI Scanning Procedures; DL Model; validation,3 T measured same-subject target/reference,Full-text article or supplied publisher text,10.1148/radiol.233529
31,Evaluation of epilepsy lesion visualisation enhancement in low-field MRI using image quality transfer: a preliminary investigation of clinical potential for applications in developing countries,Explicitly reported,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,Standard/high-field,low-field → standard/high-field,"1-4,9",Abstract; Methods; IQT training; radiologist evaluation; Data availability,1.5 T measured same-subject high-field reference; training target is high-resolution high-field image,Full-text article or supplied publisher text,10.1007/s00234-024-03448-2
32,Deep learning-based single image super-resolution for low-field MR brain images,Explicitly reported,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan",Mixed/conditional,Mixed,"1,3,5,8-9",Abstract; imaging model; Dataset; low-field acquisition,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan",Full-text article or supplied publisher text,10.1038/s41598-022-10298-6
33,Deep learning for fast low-field MRI acquisitions,Explicitly reported,0.1 T same-acquisition fully sampled reference,>64 mT low-field,low-field → low-field,"1-2,7,11",Abstract; Low-field data; Prospective study; Data availability,0.1 T same-acquisition fully sampled reference,Full-text article or supplied publisher text,10.1038/s41598-022-14039-7
34,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,Explicitly reported,3.0 T,Standard/high-field,standard/high-field only,"1-3,9",Abstract; MRI Protocol; DL framework; limitations,3.0 T,Full-text article or supplied publisher text,10.1148/radiol.230427
35,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,Explicitly reported,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,Standard/high-field,low-field → standard/high-field,"1,3,12-13",Abstract; MRI acquisition; Data availability; Code availability,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,Full-text article or supplied publisher text,10.3389/fneur.2024.1339223
36,MRI Super-Resolution With Ensemble Learning and Complementary Priors,Explicitly reported,1.5 T or 3 T measured HR reference,Standard/high-field,standard/high-field only,"2,4,10",Methodology—Down-Sampling; Results—Experimental Implementation; Reference [43],1.5 T or 3 T measured HR reference,Full-text article or supplied publisher text,10.1109/tci.2020.2964201
37,SRflow: Deep learning based super-resolution of 4D-flow MRI data,Explicitly reported,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,Standard/high-field,standard/high-field only,"6-8,12-13",2.4 Datasets; Table 1; 2.5 Data preparation; 3.1-3.2 Experiments; Table 5; Data availability,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,Full-text article or supplied publisher text,10.3389/frai.2022.928181
38,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,Explicitly reported,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments,Standard/high-field,Unclear,"1,6,9-12",Footnote; §III-A simulation; §III-B acquired LR; Fig. 9; §III-C marmoset; §III-D time; Discussion,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments,Full-text article or supplied publisher text,10.1109/tmi.2020.3037187
39,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,Explicitly reported,3 T customized Siemens Connectome Skyra,Standard/high-field,standard/high-field only,1-3,§II-A Image Acquisition and Processing; radial measurement matrix; §III-A Training and Evaluation,3 T customized Siemens Connectome Skyra,Full-text article or supplied publisher text,10.1109/icmipe53131.2021.9698880
40,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,Explicitly reported,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength,>64 mT low-field,low-field → low-field,"1,6-7,10-11",Abstract; §IV-A Experimental Data; §IV-B Training; Table 3; §IV-E/Table 6; Discussion,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength,Full-text article or supplied publisher text,10.1109/jtehm.2021.3076152
41,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,Not applicable,Not applicable,Not applicable,Not available,4-5,ScienceDirect section snippets; Results and discussion,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.bspc.2022.104395
42,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,Not applicable,Not applicable,Not applicable,Not reported,"1,3-5",Author affiliations; §III-A Dataset; §IV Results,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1109/icscna58489.2023.10370139
43,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,Not applicable,Not applicable,Not applicable,standard/high-field only,"1,4,9-12",Author affiliations; §3 Material and methods; Results; Acknowledgement,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.measurement.2020.108838
44,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,Not applicable,Not applicable,Not applicable,Not reported,"1,5-6,8",Author affiliations; §4.1 Dataset/Table 2; §4.2 Training; Conclusions; Ref. 36,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.18280/ts.400329
45,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,Not applicable,Not applicable,Not applicable,Not available,2-5,Abstract; Introduction; Methods section snippet; Discussion,No distinct target field applies to this study design.,Full-text article or supplied publisher text,10.1016/j.cmpb.2019.105150
